q_id,q_name,p_id,p_name,p_value,p_value_type
Q31,Belgium,P1344,participant in,Battle of the Lys,wikibase-item
Q31,Belgium,P1082,population,11150516.0,quantity
Q31,Belgium,P1151,topic's main Wikimedia portal,Portal:Belgium,wikibase-item
Q31,Belgium,P1546,motto,Unity makes strength,wikibase-item
Q31,Belgium,P5125,Wikimedia outline,outline of Belgium,wikibase-item
Q31,Belgium,P38,currency,euro,wikibase-item
Q31,Belgium,P487,Unicode character,🇧🇪,string
Q31,Belgium,P1792,category of associated people,Category:Belgian people,wikibase-item
Q31,Belgium,P2852,emergency phone number,112,wikibase-item
Q31,Belgium,P2853,electrical plug type,Europlug,wikibase-item
Q31,Belgium,P395,licence plate code,B,string
Q31,Belgium,P3238,trunk prefix,0,string
Q31,Belgium,P2633,geography of topic,geography of Belgium,wikibase-item
Q31,Belgium,P1313,office held by head of government,Prime Minister of Belgium,wikibase-item
Q31,Belgium,P3529,median income,31112.0,quantity
Q31,Belgium,P417,patron saint,Joseph,wikibase-item
Q31,Belgium,P2959,permanent duplicated item,Q25929919,wikibase-item
Q31,Belgium,P122,basic form of government,constitutional monarchy,wikibase-item
Q31,Belgium,P1552,has characteristic,free country,wikibase-item
Q31,Belgium,P2573,number of out-of-school children,8330.0,quantity
Q31,Belgium,P793,significant event,Belgian Revolution,wikibase-item
Q31,Belgium,P530,diplomatic relation,Luxembourg,wikibase-item
Q31,Belgium,P1906,office held by head of state,Monarch of the Belgians,wikibase-item
Q31,Belgium,P935,Commons gallery,België / Belgique / Belgien,string
Q31,Belgium,P194,legislative body,Belgian Federal Parliament,wikibase-item
Q31,Belgium,P2184,history of topic,history of Belgium,wikibase-item
Q31,Belgium,P37,official language,Dutch,wikibase-item
Q31,Belgium,P30,continent,Europe,wikibase-item
Q31,Belgium,P36,capital,City of Brussels,wikibase-item
Q31,Belgium,P237,coat of arms,coat of arms of Belgium,wikibase-item
Q31,Belgium,P3271,compulsory education (maximum age),18.0,quantity
Q31,Belgium,P2258,mobile country code,206,string
Q31,Belgium,P4841,total fertility rate,1.62,quantity
Q31,Belgium,P2979,maritime identification digits,205,string
Q31,Belgium,P3270,compulsory education (minimum age),6.0,quantity
Q31,Belgium,P3001,retirement age,65.0,quantity
Q31,Belgium,P3000,marriageable age,18.0,quantity
Q31,Belgium,P910,topic's main category,Category:Belgium,wikibase-item
Q31,Belgium,P35,head of state,Érasme-Louis Surlet de Chokier,wikibase-item
Q31,Belgium,P1791,category of people buried here,Category:Burials in Belgium,wikibase-item
Q31,Belgium,P2997,age of majority,18.0,quantity
Q31,Belgium,P5008,on focus list of Wikimedia project,WikiProject Zika Corpus,wikibase-item
Q31,Belgium,P6,head of government,Sophie Wilmès,wikibase-item
Q31,Belgium,P1198,unemployment rate,8.0,quantity
Q31,Belgium,P5658,railway traffic side,left,wikibase-item
Q31,Belgium,P1740,category for films shot at this location,Category:Films shot in Belgium,wikibase-item
Q31,Belgium,P2884,mains voltage,230.0,quantity
Q31,Belgium,P208,executive body,Federal Government of Belgium,wikibase-item
Q31,Belgium,P2238,official symbol,Papaver rhoeas,wikibase-item
Q31,Belgium,P1465,category for people who died here,Category:Deaths in Belgium,wikibase-item
Q31,Belgium,P85,anthem,The Brabançonne,wikibase-item
Q31,Belgium,P209,highest judicial authority,Constitutional Court of Belgium,wikibase-item
Q31,Belgium,P2250,life expectancy,77.61951,quantity
Q31,Belgium,P361,part of,Allies of the First World War,wikibase-item
Q31,Belgium,P373,Commons category,Belgium,string
Q31,Belgium,P78,top-level Internet domain,.be,wikibase-item
Q31,Belgium,P2046,area,30528.0,quantity
Q31,Belgium,P47,shares border with,Germany,wikibase-item
Q31,Belgium,P31,instance of,sovereign state,wikibase-item
Q31,Belgium,P610,highest point,Signal de Botrange,wikibase-item
Q31,Belgium,P1464,category for people born here,Category:Births in Belgium,wikibase-item
Q31,Belgium,P2927,water as percent of area,0.8,quantity
Q31,Belgium,P1622,driving side,right,wikibase-item
Q31,Belgium,P1589,lowest point,De Moeren,wikibase-item
Q31,Belgium,P150,contains the administrative territorial entity,Flemish Region,wikibase-item
Q31,Belgium,P474,country calling code,+32,string
Q31,Belgium,P138,named after,Belgae,wikibase-item
Q31,Belgium,P163,flag,flag of Belgium,wikibase-item
Q31,Belgium,P1343,described by source,Catholic Encyclopedia,wikibase-item
Q31,Belgium,P5982,annual number of weddings,44725.0,quantity
Q31,Belgium,P92,main regulatory text,Constitution of Belgium,wikibase-item
Q31,Belgium,P6104,maintained by WikiProject,WikiProject Belgium,wikibase-item
Q31,Belgium,P527,has part(s),Flanders,wikibase-item
Q31,Belgium,P1304,central bank,National Bank of Belgium,wikibase-item
Q31,Belgium,P2936,language used,West Flemish,wikibase-item
Q31,Belgium,P6363,WordLift URL,http://data.thenextweb.com/tnw/entity/belgium,url
Q31,Belgium,P6897,literacy rate,99.0,quantity
Q31,Belgium,P3864,suicide rate,20.7,quantity
Q31,Belgium,P3067,GS1 country code,540-549,string
Q31,Belgium,P2596,culture,culture of Belgium,wikibase-item
Q31,Belgium,P7867,category for maps,Category:Maps of Belgium,wikibase-item
Q31,Belgium,P8402,open data portal,data.gov.be,wikibase-item
Q31,Belgium,P1365,replaces,United Kingdom of the Netherlands,wikibase-item
Q31,Belgium,P8744,economy of topic,economy of Belgium,wikibase-item
Q31,Belgium,P6592,OpenStreetMap zoom level,7,string
Q31,Belgium,P9241,demographics of topic,demographics of Belgium,wikibase-item
Q31,Belgium,P8328,Democracy Index,7.51,quantity
Q31,Belgium,P8843,poverty incidence,14.8,quantity
Q31,Belgium,P8687,social media followers,56881.0,quantity
Q31,Belgium,P1889,different from,Belgium,wikibase-item
Q31,Belgium,P6591,maximum temperature record,41.8,quantity
Q31,Belgium,P832,public holiday,New Year's Day,wikibase-item
Q31,Belgium,P5991,carbon footprint,115996000.0,quantity
Q31,Belgium,P7422,minimum temperature record,-30.1,quantity
Q31,Belgium,P1424,topic's main template,Template:Subdivisions of Belgium,wikibase-item
Q31,Belgium,P2131,nominal GDP,599880000000.0,quantity
Q31,Belgium,P1081,Human Development Index,0.816,quantity
Q31,Belgium,P2855,VAT rate,0.0,quantity
Q31,Belgium,P10280,category for honorary citizens of entity,Category:Honorary citizens of Belgium,wikibase-item
Q31,Belgium,P2572,hashtag,Belgium,string
Q31,Belgium,P206,located in or next to body of water,North Sea,wikibase-item
Q31,Belgium,P706,located in/on physical feature,Western Europe,wikibase-item
Q31,Belgium,P1125,Gini coefficient,27.2,quantity
Q31,Belgium,P11547,Happy Planet Index score,42.5,quantity
Q31,Belgium,P11593,Inequality-adjusted Human Development Index,0.84,quantity
Q31,Belgium,P17,country,Belgium,wikibase-item
Q31,Belgium,P1830,owner of,Memorial interallié de Cointe,wikibase-item
Q31,Belgium,P421,located in time zone,UTC+01:00,wikibase-item
Q31,Belgium,P898,IPA transcription,ˈbɛlʤəm,string
Q23,George Washington,P106,occupation,politician,wikibase-item
Q23,George Washington,P237,coat of arms,coat of arms of George Washington,wikibase-item
Q23,George Washington,P373,Commons category,George Washington,string
Q23,George Washington,P166,award received,Thanks of Congress,wikibase-item
Q23,George Washington,P119,place of burial,Mount Vernon,wikibase-item
Q23,George Washington,P39,position held,President of the United States,wikibase-item
Q23,George Washington,P410,military rank,major general,wikibase-item
Q23,George Washington,P735,given name,George,wikibase-item
Q23,George Washington,P241,military branch,Continental Army,wikibase-item
Q23,George Washington,P607,conflict,American Revolutionary War,wikibase-item
Q23,George Washington,P910,topic's main category,Category:George Washington,wikibase-item
Q23,George Washington,P734,family name,Washington,wikibase-item
Q23,George Washington,P361,part of,Founding Fathers of the United States,wikibase-item
Q23,George Washington,P1196,manner of death,natural causes,wikibase-item
Q23,George Washington,P103,native language,English,wikibase-item
Q23,George Washington,P1971,number of children,0.0,quantity
Q23,George Washington,P935,Commons gallery,George Washington,string
Q23,George Washington,P1343,described by source,Armenian Soviet Encyclopedia,wikibase-item
Q23,George Washington,P1412,"languages spoken, written or signed",English,wikibase-item
Q23,George Washington,P102,member of political party,independent politician,wikibase-item
Q23,George Washington,P1472,Commons Creator page,George Washington,string
Q23,George Washington,P4602,date of burial or cremation,"December 18, 1799 at 12:00:00 AM CE UTC",time
Q23,George Washington,P2048,height,74.0,quantity
Q23,George Washington,P5008,on focus list of Wikimedia project,Wikipedia:List of articles all languages should have,wikibase-item
Q23,George Washington,P21,sex or gender,male,wikibase-item
Q23,George Washington,P1830,owner of,Blueskin,wikibase-item
Q23,George Washington,P31,instance of,human,wikibase-item
Q23,George Washington,P3091,mount,Blueskin,wikibase-item
Q23,George Washington,P6886,writing language,English,wikibase-item
Q23,George Washington,P485,archives at,Louis Round Wilson Library,wikibase-item
Q23,George Washington,P1050,medical condition,anthrax,wikibase-item
Q23,George Washington,P3602,candidacy in election,1792 United States presidential election,wikibase-item
Q23,George Washington,P7763,copyright status as a creator,copyrights on works have expired,wikibase-item
Q23,George Washington,P1299,depicted by,George Washington,wikibase-item
Q23,George Washington,P53,family,Washington family,wikibase-item
Q23,George Washington,P9493,artist files at,Smithsonian American Art and Portrait Gallery Library,wikibase-item
Q23,George Washington,P6379,has works in the collection,Royal Collections of the Netherlands,wikibase-item
Q23,George Washington,P7084,related category,Category:Works by George Washington,wikibase-item
Q23,George Washington,P1424,topic's main template,Template:George Washington,wikibase-item
Q23,George Washington,P1441,present in work,Civilization V,wikibase-item
Q23,George Washington,P3716,social classification,slave owner,wikibase-item
Q23,George Washington,P511,honorific prefix,General,wikibase-item
Q23,George Washington,P1889,different from,Washington,wikibase-item
Q24,Jack Bauer,P31,instance of,fictional human,wikibase-item
Q24,Jack Bauer,P734,family name,Bauer,wikibase-item
Q24,Jack Bauer,P735,given name,Jack,wikibase-item
Q24,Jack Bauer,P451,unmarried partner,Nina Myers,wikibase-item
Q24,Jack Bauer,P166,award received,Silver Star,wikibase-item
Q24,Jack Bauer,P410,military rank,captain,wikibase-item
Q24,Jack Bauer,P512,academic degree,Bachelor of Arts,wikibase-item
Q24,Jack Bauer,P106,occupation,field agent,wikibase-item
Q24,Jack Bauer,P21,sex or gender,male,wikibase-item
Q24,Jack Bauer,P1441,present in work,24,wikibase-item
Q24,Jack Bauer,P175,performer,Kiefer Sutherland,wikibase-item
Q24,Jack Bauer,P1412,"languages spoken, written or signed",English,wikibase-item
Q24,Jack Bauer,P5800,narrative role,protagonist,wikibase-item
Q24,Jack Bauer,P7047,enemy,Nina Myers,wikibase-item
Q42,Douglas Adams,P31,instance of,human,wikibase-item
Q42,Douglas Adams,P21,sex or gender,male,wikibase-item
Q42,Douglas Adams,P106,occupation,playwright,wikibase-item
Q42,Douglas Adams,P800,notable work,The Hitchhiker's Guide to the Galaxy pentalogy,wikibase-item
Q42,Douglas Adams,P1196,manner of death,natural causes,wikibase-item
Q42,Douglas Adams,P119,place of burial,Highgate Cemetery,wikibase-item
Q42,Douglas Adams,P735,given name,Douglas,wikibase-item
Q42,Douglas Adams,P734,family name,Adams,wikibase-item
Q42,Douglas Adams,P103,native language,English,wikibase-item
Q42,Douglas Adams,P373,Commons category,Douglas Adams,string
Q42,Douglas Adams,P1411,nominated for,Hugo Award for Best Dramatic Presentation,wikibase-item
Q42,Douglas Adams,P910,topic's main category,Category:Douglas Adams,wikibase-item
Q42,Douglas Adams,P1303,instrument,guitar,wikibase-item
Q42,Douglas Adams,P2048,height,1.96,quantity
Q42,Douglas Adams,P136,genre,science fiction,wikibase-item
Q42,Douglas Adams,P1412,"languages spoken, written or signed",English,wikibase-item
Q42,Douglas Adams,P485,archives at,St John's College Library,wikibase-item
Q42,Douglas Adams,P1343,described by source,Obalky knih.cz,wikibase-item
Q42,Douglas Adams,P6886,writing language,English,wikibase-item
Q42,Douglas Adams,P1424,topic's main template,Template:Douglas Adams,wikibase-item
Q42,Douglas Adams,P2021,Erdős number,10.0,quantity
Q42,Douglas Adams,P7763,copyright status as a creator,works protected by copyrights,wikibase-item
Q42,Douglas Adams,P1889,different from,Douglas Adams,wikibase-item
Q42,Douglas Adams,P172,ethnic group,White British,wikibase-item
Q42,Douglas Adams,P937,work location,London,wikibase-item
Q42,Douglas Adams,P742,pseudonym,David Agnew,string
Q42,Douglas Adams,P1340,eye color,brown,wikibase-item
Q42,Douglas Adams,P101,field of work,science fiction literature,wikibase-item
Q42,Douglas Adams,P166,award received,Inkpot Award,wikibase-item
Q42,Douglas Adams,P7084,related category,Category:Films with screenplays by Douglas Adams,wikibase-item
Q42,Douglas Adams,P5008,on focus list of Wikimedia project,Wikipedia:Vital articles/Level/4,wikibase-item
Q1868,Paul Otlet,P734,family name,Otlet,wikibase-item
Q1868,Paul Otlet,P106,occupation,writer,wikibase-item
Q1868,Paul Otlet,P119,place of burial,Etterbeek Cemetery,wikibase-item
Q1868,Paul Otlet,P373,Commons category,Paul Otlet,string
Q1868,Paul Otlet,P735,given name,Paul,wikibase-item
Q1868,Paul Otlet,P31,instance of,human,wikibase-item
Q1868,Paul Otlet,P1472,Commons Creator page,Paul Otlet,string
Q1868,Paul Otlet,P101,field of work,bibliography,wikibase-item
Q1868,Paul Otlet,P1412,"languages spoken, written or signed",French,wikibase-item
Q1868,Paul Otlet,P800,notable work,Mundaneum,wikibase-item
Q1868,Paul Otlet,P21,sex or gender,male,wikibase-item
Q1868,Paul Otlet,P6886,writing language,French,wikibase-item
Q1868,Paul Otlet,P737,influenced by,Henri La Fontaine,wikibase-item
Q1868,Paul Otlet,P485,archives at,Mundaneum,wikibase-item
Q1868,Paul Otlet,P103,native language,French,wikibase-item
Q1868,Paul Otlet,P937,work location,City of Brussels,wikibase-item
Q2013,Wikidata,P1282,OpenStreetMap tag or key,Key:wikidata,string
Q2013,Wikidata,P166,award received,Open Data Award,wikibase-item
Q2013,Wikidata,P1401,issue tracker URL,https://phabricator.wikimedia.org/project/view/71/,url
Q2013,Wikidata,P31,instance of,Wikimedia content project,wikibase-item
Q2013,Wikidata,P275,copyright license,Creative Commons CC0 License,wikibase-item
Q2013,Wikidata,P137,operator,Wikimedia Foundation,wikibase-item
Q2013,Wikidata,P553,website account on,identi.ca,wikibase-item
Q2013,Wikidata,P910,topic's main category,Category:Wikidata,wikibase-item
Q2013,Wikidata,P373,Commons category,Wikidata,string
Q2013,Wikidata,P935,Commons gallery,Commons:Wikidata,string
Q2013,Wikidata,P1482,Stack Exchange tag,https://stackoverflow.com/tags/wikidata,url
Q2013,Wikidata,P178,developer,Wikimedia Deutschland,wikibase-item
Q2013,Wikidata,P1613,IRC channel URL,irc://irc.freenode.net/#wikidata,url
Q2013,Wikidata,P1424,topic's main template,Template:Wikidata,wikibase-item
Q2013,Wikidata,P1833,number of registered users/contributors,2565510.0,quantity
Q2013,Wikidata,P793,significant event,anniversary,wikibase-item
Q2013,Wikidata,P2959,permanent duplicated item,Q18325389,wikibase-item
Q2013,Wikidata,P361,part of,Semantic Web,wikibase-item
Q2013,Wikidata,P407,language of work or name,multiple languages,wikibase-item
Q2013,Wikidata,P2572,hashtag,Wikidata,string
Q2013,Wikidata,P138,named after,wiki,wikibase-item
Q2013,Wikidata,P1535,used by,QuickStatements,wikibase-item
Q2013,Wikidata,P2702,dataset distribution,Wikidata RDF Dump Format,wikibase-item
Q2013,Wikidata,P408,software engine,Wikibase,wikibase-item
Q2013,Wikidata,P50,author,Wikidata editors,wikibase-item
Q2013,Wikidata,P1661,Alexa rank,12325.0,quantity
Q2013,Wikidata,P1343,described by source,Wikidata: A Free Collaborative Knowledgebase,wikibase-item
Q2013,Wikidata,P4354,search formatter URL,https://www.wikidata.org/w/index.php?search=$1,string
Q2013,Wikidata,P5305,SPARQL endpoint URL,https://query.wikidata.org/sparql,url
Q2013,Wikidata,P170,creator,Wikimedia Foundation,wikibase-item
Q2013,Wikidata,P859,sponsor,Gordon and Betty Moore Foundation,wikibase-item
Q2013,Wikidata,P6269,API endpoint URL,https://wikidata.reconci.link/en/api,url
Q2013,Wikidata,P7014,terms of service URL,https://foundation.wikimedia.org/wiki/Terms_of_Use,url
Q2013,Wikidata,P5692,dummy value,Q4115189,string
Q2013,Wikidata,P1365,replaces,WikiProject Persondata,wikibase-item
Q2013,Wikidata,P6216,copyright status,"copyrighted, dedicated to the public domain by copyright holder",wikibase-item
Q2013,Wikidata,P8009,IM channel URL,https://chat.wmcloud.org/wikimedia/channels/wikidata,string
Q2013,Wikidata,P2283,uses,data donation,wikibase-item
Q2013,Wikidata,P8687,social media followers,20806.0,quantity
Q2013,Wikidata,P1552,has characteristic,secondary source,wikibase-item
Q2013,Wikidata,P973,described at URL,http://viaf.org/viaf/partnerpages/WKP.html,url
Q2013,Wikidata,P2670,has part(s) of the class,semantic triple,wikibase-item
Q2013,Wikidata,P3095,practiced by,Wikidata editor,wikibase-item
Q2013,Wikidata,P2184,history of topic,QID milestone,wikibase-item
Q2013,Wikidata,P921,main subject,linked open data,wikibase-item
Q2013,Wikidata,P10027,official forum URL,https://www.wikidata.org/wiki/Wikidata:Project_chat,url
Q2013,Wikidata,P528,catalog code,104349,string
Q2013,Wikidata,P9138,service status information URL,https://www.wikimediastatus.net,url
Q2013,Wikidata,P9214,FAQ URL,https://www.wikidata.org/wiki/Help:FAQ,url
Q2013,Wikidata,P10768,Similarweb ranking,11159.0,quantity
Q2013,Wikidata,P1619,date of official opening,"October 29, 2012 at 12:00:00 AM CE UTC",time
Q2013,Wikidata,P527,has part(s),lexicographical data in Wikidata,wikibase-item
Q2013,Wikidata,P1019,web feed URL,https://www.wikidata.org/w/api.php?hidecategorization=1&urlversion=2&days=30&limit=50&action=feedrecentchanges&feedformat=atom,url
Q2013,Wikidata,P898,IPA transcription,ˌwɪ.ki.ˈdeɪ.tə,string
Q2013,Wikidata,P8324,funder,Wikidata funder,wikibase-item
Q2013,Wikidata,P2888,exact match,https://observablehq.com/tag/wikidata,url
Q2013,Wikidata,P11903,login URL,https://www.wikidata.org/wiki/Special:UserLogin,url
Q2013,Wikidata,P11904,registration page URL,https://www.wikidata.org/wiki/Special:CreateAccount,url
Q2013,Wikidata,P10209,number of triples,15019738576.0,quantity
Q2013,Wikidata,P1889,different from,Wikidata.org,wikibase-item
Q45,Portugal,P1151,topic's main Wikimedia portal,Portal:Portugal,wikibase-item
Q45,Portugal,P30,continent,Europe,wikibase-item
Q45,Portugal,P36,capital,Lisbon,wikibase-item
Q45,Portugal,P38,currency,euro,wikibase-item
Q45,Portugal,P37,official language,Portuguese,wikibase-item
Q45,Portugal,P35,head of state,Aníbal Cavaco Silva,wikibase-item
Q45,Portugal,P78,top-level Internet domain,.pt,wikibase-item
Q45,Portugal,P85,anthem,A Portuguesa,wikibase-item
Q45,Portugal,P47,shares border with,Spain,wikibase-item
Q45,Portugal,P31,instance of,sovereign state,wikibase-item
Q45,Portugal,P421,located in time zone,Western European Time,wikibase-item
Q45,Portugal,P163,flag,Flag of Portugal,wikibase-item
Q45,Portugal,P373,Commons category,Portugal,string
Q45,Portugal,P474,country calling code,+351,string
Q45,Portugal,P6,head of government,Pedro Passos Coelho,wikibase-item
Q45,Portugal,P194,legislative body,Assembly of the Republic,wikibase-item
Q45,Portugal,P610,highest point,Mount Pico,wikibase-item
Q45,Portugal,P150,contains the administrative territorial entity,Lisbon,wikibase-item
Q45,Portugal,P122,basic form of government,republic,wikibase-item
Q45,Portugal,P417,patron saint,Saint George,wikibase-item
Q45,Portugal,P832,public holiday,Portugal Day,wikibase-item
Q45,Portugal,P910,topic's main category,Category:Portugal,wikibase-item
Q45,Portugal,P237,coat of arms,coat of arms of Portugal,wikibase-item
Q45,Portugal,P1465,category for people who died here,Category:Deaths in Portugal,wikibase-item
Q45,Portugal,P1464,category for people born here,Category:Births in Portugal,wikibase-item
Q45,Portugal,P1740,category for films shot at this location,Category:Films shot in Portugal,wikibase-item
Q45,Portugal,P1791,category of people buried here,Category:Burials in Portugal,wikibase-item
Q45,Portugal,P1792,category of associated people,Category:Portuguese people,wikibase-item
Q45,Portugal,P1082,population,10347892.0,quantity
Q45,Portugal,P530,diplomatic relation,Italy,wikibase-item
Q45,Portugal,P2184,history of topic,history of Portugal,wikibase-item
Q45,Portugal,P898,IPA transcription,pərtʊˈɡalʲɪjə,string
Q45,Portugal,P935,Commons gallery,Portugal,string
Q45,Portugal,P2258,mobile country code,268,string
Q45,Portugal,P1589,lowest point,Atlantic Ocean,wikibase-item
Q45,Portugal,P1622,driving side,right,wikibase-item
Q45,Portugal,P2633,geography of topic,geography of Portugal,wikibase-item
Q45,Portugal,P1198,unemployment rate,14.0,quantity
Q45,Portugal,P1343,described by source,Ottův slovník naučný,wikibase-item
Q45,Portugal,P2852,emergency phone number,112,wikibase-item
Q45,Portugal,P2853,electrical plug type,Europlug,wikibase-item
Q45,Portugal,P2884,mains voltage,230.0,quantity
Q45,Portugal,P208,executive body,Government of Portugal,wikibase-item
Q45,Portugal,P2959,permanent duplicated item,Q23059791,wikibase-item
Q45,Portugal,P3270,compulsory education (minimum age),6.0,quantity
Q45,Portugal,P3271,compulsory education (maximum age),18.0,quantity
Q45,Portugal,P2997,age of majority,18.0,quantity
Q45,Portugal,P3000,marriageable age,18.0,quantity
Q45,Portugal,P2046,area,92225.0,quantity
Q45,Portugal,P1313,office held by head of government,Prime Minister of Portugal,wikibase-item
Q45,Portugal,P1906,office held by head of state,President of Portugal,wikibase-item
Q45,Portugal,P395,licence plate code,P,string
Q45,Portugal,P527,has part(s),Continental Portugal,wikibase-item
Q45,Portugal,P3001,retirement age,66.0,quantity
Q45,Portugal,P1304,central bank,Banco de Portugal,wikibase-item
Q45,Portugal,P2573,number of out-of-school children,15044.0,quantity
Q45,Portugal,P1552,has characteristic,free country,wikibase-item
Q45,Portugal,P706,located in/on physical feature,Iberian Peninsula,wikibase-item
Q45,Portugal,P4841,total fertility rate,1.5,quantity
Q45,Portugal,P2979,maritime identification digits,263,string
Q45,Portugal,P5008,on focus list of Wikimedia project,Wikipedia:List of articles all languages should have,wikibase-item
Q45,Portugal,P5125,Wikimedia outline,outline of Portugal,wikibase-item
Q45,Portugal,P1365,replaces,Portuguese Empire,wikibase-item
Q45,Portugal,P5658,railway traffic side,left,wikibase-item
Q45,Portugal,P2250,life expectancy,75.96341,quantity
Q45,Portugal,P6104,maintained by WikiProject,WikiProject Portugal,wikibase-item
Q45,Portugal,P487,Unicode character,🇵🇹,string
Q45,Portugal,P2936,language used,Portuguese,wikibase-item
Q45,Portugal,P7295,Gregorian calendar start date,"October 15, 1582 at 12:00:00 AM CE UTC",time
Q45,Portugal,P3067,GS1 country code,560,string
Q45,Portugal,P2596,culture,culture of Portugal,wikibase-item
Q45,Portugal,P7867,category for maps,Category:Maps of Portugal,wikibase-item
Q45,Portugal,P2855,VAT rate,23.0,quantity
Q45,Portugal,P2579,studied by,Portuguese studies,wikibase-item
Q45,Portugal,P8402,open data portal,Open Data Portugal,wikibase-item
Q45,Portugal,P361,part of,Southwestern Europe,wikibase-item
Q45,Portugal,P8744,economy of topic,economy of Portugal,wikibase-item
Q45,Portugal,P6592,OpenStreetMap zoom level,6,string
Q45,Portugal,P9241,demographics of topic,demographics of Portugal,wikibase-item
Q45,Portugal,P206,located in or next to body of water,Atlantic Ocean,wikibase-item
Q45,Portugal,P8328,Democracy Index,7.9,quantity
Q45,Portugal,P2572,hashtag,Portugal,string
Q45,Portugal,P1424,topic's main template,Template:Districts and autonomous regions of Portugal,wikibase-item
Q45,Portugal,P1081,Human Development Index,0.701,quantity
Q45,Portugal,P155,follows,Kingdom of Portugal,wikibase-item
Q45,Portugal,P11547,Happy Planet Index score,46.3,quantity
Q45,Portugal,P1125,Gini coefficient,32.8,quantity
Q45,Portugal,P11593,Inequality-adjusted Human Development Index,0.727,quantity
Q45,Portugal,P3864,suicide rate,7.2,quantity
Q45,Portugal,P2131,nominal GDP,253982847571.0,quantity
Q45,Portugal,P209,highest judicial authority,Portuguese Supreme Court of Justice,wikibase-item
Q45,Portugal,P17,country,Portugal,wikibase-item
Q75,Internet,P31,instance of,IP network,wikibase-item
Q75,Internet,P373,Commons category,Internet,string
Q75,Internet,P910,topic's main category,Category:Internet,wikibase-item
Q75,Internet,P1151,topic's main Wikimedia portal,Portal:Internet,wikibase-item
Q75,Internet,P1889,different from,World Wide Web,wikibase-item
Q75,Internet,P2184,history of topic,history of the Internet,wikibase-item
Q75,Internet,P61,discoverer or inventor,Vint Cerf,wikibase-item
Q75,Internet,P1424,topic's main template,Template:Internet,wikibase-item
Q75,Internet,P5008,on focus list of Wikimedia project,Wikipedia:List of articles all languages should have,wikibase-item
Q75,Internet,P5125,Wikimedia outline,outline of the Internet,wikibase-item
Q75,Internet,P279,subclass of,telecommunications network,wikibase-item
Q75,Internet,P1343,described by source,Kazakhstan. National encyclopedia,wikibase-item
Q75,Internet,P6104,maintained by WikiProject,WikiProject Internet,wikibase-item
Q75,Internet,P2283,uses,Internet Protocol,wikibase-item
Q75,Internet,P5009,complies with,Internet Protocol,wikibase-item
Q75,Internet,P2579,studied by,communication studies,wikibase-item
Q75,Internet,P1365,replaces,Bildschirmtext,wikibase-item
Q75,Internet,P1535,used by,internaut,wikibase-item
Q75,Internet,P138,named after,internetworking,wikibase-item
Q75,Internet,P3095,practiced by,internaut,wikibase-item
Q75,Internet,P1482,Stack Exchange tag,https://superuser.com/tags/internet,url
Q148,People's Republic of China,P1304,central bank,People's Bank of China,wikibase-item
Q148,People's Republic of China,P1151,topic's main Wikimedia portal,Portal:People's Republic of China,wikibase-item
Q148,People's Republic of China,P935,Commons gallery,中华人民共和国,string
Q148,People's Republic of China,P530,diplomatic relation,United States of America,wikibase-item
Q148,People's Republic of China,P31,instance of,sovereign state,wikibase-item
Q148,People's Republic of China,P30,continent,Asia,wikibase-item
Q148,People's Republic of China,P36,capital,Beijing,wikibase-item
Q148,People's Republic of China,P37,official language,Standard Mandarin,wikibase-item
Q148,People's Republic of China,P38,currency,renminbi,wikibase-item
Q148,People's Republic of China,P47,shares border with,Mongolia,wikibase-item
Q148,People's Republic of China,P85,anthem,March of the Volunteers,wikibase-item
Q148,People's Republic of China,P78,top-level Internet domain,.cn,wikibase-item
Q148,People's Republic of China,P163,flag,flag of China,wikibase-item
Q148,People's Republic of China,P150,contains the administrative territorial entity,Beijing,wikibase-item
Q148,People's Republic of China,P194,legislative body,National People's Congress,wikibase-item
Q148,People's Republic of China,P209,highest judicial authority,Supreme People’s Court of the People's Republic of China,wikibase-item
Q148,People's Republic of China,P421,located in time zone,China Standard Time,wikibase-item
Q148,People's Republic of China,P373,Commons category,People's Republic of China,string
Q148,People's Republic of China,P237,coat of arms,National Emblem of the People‘s Republic of China,wikibase-item
Q148,People's Republic of China,P610,highest point,Mount Everest,wikibase-item
Q148,People's Republic of China,P208,executive body,State Council of the People's Republic of China,wikibase-item
Q148,People's Republic of China,P832,public holiday,New Year's Day,wikibase-item
Q148,People's Republic of China,P474,country calling code,+86,string
Q148,People's Republic of China,P35,head of state,Xi Jinping,wikibase-item
Q148,People's Republic of China,P6,head of government,Li Keqiang,wikibase-item
Q148,People's Republic of China,P1082,population,1375198619.0,quantity
Q148,People's Republic of China,P910,topic's main category,Category:People's Republic of China,wikibase-item
Q148,People's Republic of China,P1740,category for films shot at this location,Category:Films shot in China,wikibase-item
Q148,People's Republic of China,P1343,described by source,Nordisk familjebok,wikibase-item
Q148,People's Republic of China,P706,located in/on physical feature,China,wikibase-item
Q148,People's Republic of China,P361,part of,China,wikibase-item
Q148,People's Republic of China,P1313,office held by head of government,Premier of the People's Republic of China,wikibase-item
Q148,People's Republic of China,P1365,replaces,Republic of China,wikibase-item
Q148,People's Republic of China,P898,IPA transcription,ˈfɔɽkərɛpʉblɪkən ˈçiːnɑ,string
Q148,People's Republic of China,P2258,mobile country code,460,string
